State,state2,County,"Violent
crime","Murder and
nonnegligent
manslaughter",Rape1,Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson2
,MICHIGAN ,Iron,12,0,4,0,8,18,4,14,0,0
,MICHIGAN ,Isabella,39,1,10,1,27,262,68,180,14,3
,MICHIGAN ,Kalkaska,46,0,0,0,46,156,30,122,4,0
,MICHIGAN ,Keweenaw,3,0,0,0,3,8,2,6,0,0
,MICHIGAN ,Lake,44,0,13,2,29,201,65,128,8,6
,MICHIGAN ,Leelanau,5,0,1,0,4,40,12,26,2,0
,MICHIGAN ,Lenawee,24,0,10,0,14,212,60,141,11,1
,MICHIGAN ,Luce,22,0,5,0,17,69,24,44,1,1
,MICHIGAN ,Mackinac,11,1,4,0,6,121,22,96,3,0
,MICHIGAN ,Manistee,39,0,14,0,25,150,19,128,3,0
,MICHIGAN ,Marquette,14,0,2,0,12,165,12,151,2,1
,MICHIGAN ,Mason,17,0,5,3,9,119,30,80,9,0
,MICHIGAN ,Mecosta,208,1,23,2,182,326,61,253,12,9
,MICHIGAN ,Menominee,20,0,9,0,11,80,28,44,8,0
,MICHIGAN ,Missaukee,39,0,16,0,23,99,21,78,0,1
,MICHIGAN ,Newaygo,55,0,18,0,37,241,57,158,26,5
,MICHIGAN ,Oceana,45,0,6,0,39,154,25,124,5,0
,MICHIGAN ,Ogemaw,17,0,3,0,14,107,17,85,5,0
,MICHIGAN ,Ontonagon,14,0,0,0,14,8,2,6,0,0
,MICHIGAN ,Osceola,22,0,2,2,18,101,27,65,9,2
,MICHIGAN ,Oscoda,25,0,3,1,21,80,13,59,8,0
,MICHIGAN ,Otsego,15,1,5,0,9,49,17,32,0,0
,MICHIGAN ,Presque Isle,13,0,7,0,6,36,11,24,1,0
,MICHIGAN ,Roscommon,15,0,7,1,7,98,14,80,4,1
,MICHIGAN ,Sanilac,52,2,11,1,38,122,47,58,17,4
,MICHIGAN ,Schoolcraft,0,0,0,0,0,2,1,1,0,0
,MICHIGAN ,St. Joseph,84,1,11,0,72,225,72,133,20,5
,MICHIGAN ,Tuscola,51,1,21,0,29,153,46,94,13,0
,MICHIGAN ,Van Buren,110,2,30,2,76,460,155,268,37,8
,MICHIGAN ,Wexford,39,0,11,2,26,188,33,147,8,2
MINNESOTA - Metropolitan Counties,MINNESOTA ,Anoka,39,0,13,2,24,791,92,643,56,3
,MINNESOTA ,Benton,17,1,6,0,10,164,40,102,22,1
,MINNESOTA ,Blue Earth5,21,1,6,2,12,117,44,58,15,0
,MINNESOTA ,Carlton,15,1,6,0,8,147,46,89,12,0
,MINNESOTA ,Carver,50,0,26,6,18,515,75,411,29,5
,MINNESOTA ,Chisago,3,0,0,1,2,82,11,64,7,0
,MINNESOTA ,Clay,8,1,1,1,5,57,25,23,9,0
,MINNESOTA ,Dakota,38,0,7,0,31,102,22,72,8,0
,MINNESOTA ,Dodge,9,1,0,0,8,110,17,85,8,0
,MINNESOTA ,Fillmore,10,0,2,0,8,46,6,37,3,1
,MINNESOTA ,Hennepin,20,0,0,2,18,59,3,54,2,0
,MINNESOTA ,Houston,3,0,1,0,2,29,7,18,4,0
,MINNESOTA ,Isanti,17,0,4,1,12,207,46,139,22,0
,MINNESOTA ,Lake,1,0,0,0,1,4,2,2,0,0
,MINNESOTA ,Le Sueur,8,0,2,0,6,101,21,78,2,0
,MINNESOTA ,Mille Lacs,33,3,6,3,21,481,104,326,51,1
,MINNESOTA ,Nicollet,7,0,2,1,4,76,27,45,4,0
,MINNESOTA ,Olmsted,41,0,20,7,14,324,99,205,20,1
,MINNESOTA ,Polk,20,0,8,1,11,127,27,82,18,2
,MINNESOTA ,Ramsey5,96,0,19,14,63,"1,038",150,795,93,5
,MINNESOTA ,Scott,9,1,2,0,6,139,21,112,6,0
,MINNESOTA ,Sherburne,28,0,12,2,14,290,37,232,21,0
,MINNESOTA ,Stearns,31,0,15,0,16,250,59,165,26,3
,MINNESOTA ,St. Louis,38,1,14,4,19,674,231,376,67,6
,MINNESOTA ,Wabasha5,7,0,2,0,5,46,8,32,6,0
,MINNESOTA ,Washington,53,0,23,5,25,643,109,483,51,0
,MINNESOTA ,Wright,112,0,41,4,67,"1,480",124,"1,289",67,1
MINNESOTA - Nonmetropolitan Counties,MINNESOTA ,Aitkin,10,1,2,1,6,166,63,91,12,1
,MINNESOTA ,Becker,38,1,14,1,22,210,87,97,26,1
,MINNESOTA ,Beltrami,43,0,7,4,32,347,103,205,39,4
,MINNESOTA ,Big Stone,2,0,0,0,2,34,9,24,1,0
,MINNESOTA ,Brown,2,0,2,0,0,25,12,8,5,1
,MINNESOTA ,Cass,55,3,30,0,22,632,112,456,64,2
,MINNESOTA ,Chippewa,0,0,0,0,0,0,0,0,0,0
,MINNESOTA ,Clearwater,15,0,7,0,8,66,22,31,13,2
,MINNESOTA ,Cook,7,0,4,0,3,32,3,29,0,0
,MINNESOTA ,Cottonwood,6,0,0,0,6,20,8,11,1,0
,MINNESOTA ,Crow Wing,34,0,9,1,24,329,119,194,16,0
,MINNESOTA ,Douglas5,13,1,5,0,7,197,46,130,21,1
,MINNESOTA ,Faribault5,16,0,0,0,16,79,46,22,11,0
,MINNESOTA ,Freeborn,7,0,2,1,4,124,47,63,14,0
,MINNESOTA ,Goodhue,16,0,2,1,13,183,56,114,13,3
,MINNESOTA ,Grant,2,0,0,0,2,10,3,6,1,0
,MINNESOTA ,Hubbard,25,0,7,0,18,223,76,125,22,1
,MINNESOTA ,Itasca,19,0,6,1,12,217,71,134,12,0
,MINNESOTA ,Jackson,4,0,1,0,3,30,6,21,3,0
,MINNESOTA ,Kanabec,29,0,0,0,29,46,8,26,12,0
,MINNESOTA ,Kandiyohi,22,1,6,1,14,215,50,143,22,0
,MINNESOTA ,Kittson,0,0,0,0,0,4,1,2,1,0
,MINNESOTA ,Koochiching,2,0,1,0,1,19,1,15,3,0
,MINNESOTA ,Lac qui Parle,1,0,0,0,1,10,3,4,3,0
,MINNESOTA ,Lake of the Woods,1,0,0,0,1,11,3,7,1,0
,MINNESOTA ,Lincoln,2,0,1,0,1,21,6,12,3,0
,MINNESOTA ,Lyon,5,0,1,0,4,11,6,4,1,0
,MINNESOTA ,Mahnomen,12,0,4,0,8,63,16,36,11,1
,MINNESOTA ,Marshall,4,0,1,0,3,41,7,30,4,0
,MINNESOTA ,Martin5,4,0,1,0,3,17,8,7,2,0
,MINNESOTA ,McLeod,8,0,3,0,5,71,23,46,2,0
,MINNESOTA ,Meeker,11,0,1,0,10,83,27,48,8,0
,MINNESOTA ,Morrison,8,0,0,2,6,267,65,184,18,0
,MINNESOTA ,Mower,10,0,3,0,7,76,23,37,16,1
,MINNESOTA ,Murray,2,0,1,0,1,12,1,10,1,0
,MINNESOTA ,Nobles,11,0,6,0,5,26,8,18,0,2
,MINNESOTA ,Norman,1,0,1,0,0,0,0,0,0,0
,MINNESOTA ,Otter Tail,25,1,8,0,16,241,81,132,28,0
,MINNESOTA ,Pennington,2,0,1,0,1,68,18,42,8,1
,MINNESOTA ,Pine,43,0,12,0,31,412,105,240,67,3
,MINNESOTA ,Pipestone,5,0,0,1,4,109,13,95,1,0
,MINNESOTA ,Pope,0,0,0,0,0,33,16,14,3,0
,MINNESOTA ,Red Lake,0,0,0,0,0,10,4,5,1,0
,MINNESOTA ,Redwood,6,0,1,0,5,42,8,30,4,0
,MINNESOTA ,Renville,3,0,1,0,2,67,12,46,9,0
,MINNESOTA ,Rice,16,0,6,1,9,209,47,143,19,1
,MINNESOTA ,Rock,1,0,0,1,0,38,4,29,5,0
,MINNESOTA ,Roseau,4,0,1,0,3,63,14,41,8,0
,MINNESOTA ,Sibley,1,0,0,0,1,3,0,3,0,0
,MINNESOTA ,Steele,8,0,2,0,6,88,25,51,12,0
,MINNESOTA ,Stevens,6,1,1,0,4,40,4,36,0,0
,MINNESOTA ,Swift,4,0,1,0,3,18,5,13,0,0
,MINNESOTA ,Todd,15,0,5,1,9,146,41,98,7,1
,MINNESOTA ,Traverse,0,0,0,0,0,28,5,21,2,0
,MINNESOTA ,Wadena5,8,0,1,0,7,12,7,5,0,0
,MINNESOTA ,Waseca5,9,0,3,0,6,72,28,42,2,0
,MINNESOTA ,Watonwan,6,0,3,0,3,39,15,21,3,0
,MINNESOTA ,Wilkin,4,0,2,0,2,20,0,16,4,0
,MINNESOTA ,Winona,7,0,4,0,3,78,17,54,7,0
,MINNESOTA ,Yellow Medicine,3,0,0,0,3,30,5,22,3,0
MISSISSIPPI - Metropolitan Counties,MISSISSIPPI ,Hancock,32,2,0,6,24,493,94,351,48,0
,MISSISSIPPI ,Harrison,41,1,9,10,21,867,233,511,123,8
,MISSISSIPPI ,Hinds,101,4,5,5,87,454,198,198,58,0
,MISSISSIPPI ,Lamar,108,2,10,9,87,789,267,473,49,4
,MISSISSIPPI ,Rankin,49,4,2,6,37,422,78,301,43,5
,MISSISSIPPI ,Stone,47,2,7,1,37,194,70,100,24,3
,MISSISSIPPI ,Tunica7,,3,,15,32,444,83,322,39,1
MISSISSIPPI - Nonmetropolitan Counties,MISSISSIPPI ,Claiborne,19,1,1,6,11,75,43,21,11,0
,MISSISSIPPI ,Greene,7,0,0,0,7,41,18,16,7,1
,MISSISSIPPI ,Kemper,8,0,2,0,6,30,18,12,0,0
,MISSISSIPPI ,Lauderdale,33,2,7,6,18,437,253,144,40,6
,MISSISSIPPI ,Lincoln,19,0,0,4,15,248,55,179,14,0
,MISSISSIPPI ,Oktibbeha7,,0,,9,37,472,324,133,15,0
,MISSISSIPPI ,Panola,109,0,14,16,79,643,317,309,17,2
MISSOURI - Metropolitan Counties,MISSOURI ,Andrew,7,0,1,2,4,94,26,60,8,1
,MISSOURI ,Bollinger,30,1,7,1,21,47,20,27,0,2
,MISSOURI ,Boone,105,4,12,7,82,700,94,522,84,2
,MISSOURI ,Buchanan5,38,0,15,3,20,229,58,128,43,4
,MISSOURI ,Caldwell8,,0,4,0,,87,23,48,16,2
,MISSOURI ,Callaway,68,1,17,4,46,381,100,241,40,
,MISSOURI ,Cape Girardeau,30,2,2,3,23,248,83,139,26,1
,MISSOURI ,Cass,35,2,5,0,28,376,128,209,39,0
,MISSOURI ,Christian,64,0,6,5,53,230,72,146,12,1
,MISSOURI ,Clay,41,0,3,5,33,212,59,123,30,1
,MISSOURI ,Clinton,16,0,0,2,14,77,29,45,3,3
,MISSOURI ,Cole,55,0,0,0,55,268,50,198,20,2
,MISSOURI ,Cooper,3,0,1,1,1,78,19,50,9,0
,MISSOURI ,Dallas,7,2,0,1,4,40,12,25,3,0
,MISSOURI ,DeKalb,2,0,0,0,2,35,12,14,9,1
,MISSOURI ,Franklin5,61,1,6,1,53,439,169,219,51,1
,MISSOURI ,Greene,74,4,35,10,25,"1,045",259,663,123,12
,MISSOURI ,Howard,8,0,0,0,8,47,28,12,7,0
,MISSOURI ,Jackson,45,0,5,7,33,484,152,278,54,5
,MISSOURI ,Jasper,84,0,10,10,64,505,126,302,77,
,MISSOURI ,Jefferson,335,5,31,20,279,"2,415",551,"1,471",393,13
,MISSOURI ,Lafayette,14,0,0,1,13,59,23,32,4,0
,MISSOURI ,Lincoln3,131,2,18,1,110,,,155,3,2
,MISSOURI ,Newton,134,0,8,10,116,667,126,442,99,5
,MISSOURI ,Osage,2,0,0,0,2,68,19,38,11,1
,MISSOURI ,Platte,46,4,10,5,27,244,52,164,28,0
,MISSOURI ,Polk,37,0,4,2,31,349,97,223,29,0
,MISSOURI ,St. Charles,0,0,0,0,0,0,0,0,0,0
,MISSOURI ,St. Charles County Police Department,119,2,11,10,96,729,150,517,62,4
,MISSOURI ,St. Louis County Police Department,"1,834",37,174,342,"1,281","7,508","1,305","5,211",992,75
,MISSOURI ,Warren,41,0,6,2,33,176,45,106,25,1
,MISSOURI ,Webster,13,3,3,3,4,170,52,89,29,0
MISSOURI - Nonmetropolitan Counties,MISSOURI ,Adair,23,0,1,1,21,118,44,71,3,0
,MISSOURI ,Atchison,3,0,0,1,2,8,0,7,1,0
,MISSOURI ,Audrain,14,0,0,0,14,86,34,48,4,0
,MISSOURI ,Barry,38,0,1,3,34,403,111,228,64,1
,MISSOURI ,Benton,26,0,1,0,25,140,61,69,10,0
,MISSOURI ,Butler,153,2,2,2,147,691,244,408,39,1
,MISSOURI ,Camden,87,1,33,0,53,487,156,292,39,2
,MISSOURI ,Carroll,4,0,1,0,3,32,22,8,2,0
,MISSOURI ,Carter,22,1,1,0,20,101,36,56,9,
,MISSOURI ,Cedar,24,1,6,0,17,78,20,58,0,1
,MISSOURI ,Clark,6,0,1,1,4,67,23,38,6,0
,MISSOURI ,Crawford,13,0,2,0,11,227,88,110,29,1
,MISSOURI ,Daviess,8,0,1,0,7,38,16,15,7,2
,MISSOURI ,Dent,2,0,0,1,1,68,34,29,5,0
,MISSOURI ,Douglas,16,1,2,0,13,24,11,7,6,1
,MISSOURI ,Dunklin,15,1,1,2,11,132,43,67,22,1
,MISSOURI ,Gasconade,56,0,2,2,52,116,39,64,13,0
,MISSOURI ,Gentry,1,0,0,0,1,24,11,10,3,1
,MISSOURI ,Grundy,5,0,0,0,5,13,7,3,3,1
,MISSOURI ,Harrison,10,0,0,1,9,42,28,12,2,0
,MISSOURI ,Henry5,60,0,8,0,52,345,174,138,33,4
,MISSOURI ,Hickory,3,0,0,0,3,89,30,54,5,0
,MISSOURI ,Holt,6,0,0,0,6,57,16,28,13,0
,MISSOURI ,Howell,55,1,1,0,53,308,101,172,35,0
,MISSOURI ,Iron,11,0,2,0,9,63,26,30,7,
,MISSOURI ,Johnson,27,1,3,2,21,289,73,180,36,0
,MISSOURI ,Laclede,30,0,8,1,21,359,79,219,61,4
,MISSOURI ,Lawrence,19,0,7,4,8,213,73,118,22,0
,MISSOURI ,Lewis,4,0,0,0,4,42,15,26,1,1
,MISSOURI ,Linn,9,1,0,0,8,42,18,22,2,1
,MISSOURI ,Livingston,1,0,0,0,1,38,8,26,4,1
,MISSOURI ,Macon,6,1,0,0,5,72,27,44,1,0
,MISSOURI ,Madison,10,0,1,0,9,31,5,25,1,0
,MISSOURI ,Marion,6,0,0,0,6,203,11,189,3,0
,MISSOURI ,McDonald,77,0,10,0,67,234,32,202,0,1
,MISSOURI ,Mercer,0,0,0,0,0,19,14,4,1,0
,MISSOURI ,Miller,44,1,4,1,38,204,87,94,23,0
,MISSOURI ,Mississippi,7,0,1,1,5,59,24,31,4,2
,MISSOURI ,Monroe,22,0,2,0,20,35,7,27,1,1
,MISSOURI ,Montgomery,4,0,0,0,4,47,21,26,0,0
,MISSOURI ,Morgan,48,0,13,0,35,150,81,63,6,0
,MISSOURI ,Nodaway,6,0,1,0,5,86,36,43,7,0
,MISSOURI ,Oregon,30,1,2,1,26,47,20,23,4,0
,MISSOURI ,Ozark,13,1,2,0,10,62,26,30,6,6
,MISSOURI ,Pemiscot,26,1,1,1,23,91,28,49,14,2
,MISSOURI ,Perry,18,0,1,0,17,38,11,23,4,0
,MISSOURI ,Pettis,38,1,0,2,35,171,61,97,13,1
,MISSOURI ,Phelps,40,0,2,1,37,202,36,144,22,1
,MISSOURI ,Pulaski,129,2,12,3,112,336,76,213,47,0
,MISSOURI ,Putnam,9,0,2,0,7,15,5,5,5,0
,MISSOURI ,Ralls,8,0,0,0,8,72,14,51,7,0
,MISSOURI ,Randolph,22,0,2,1,19,72,29,33,10,0
,MISSOURI ,Ripley,17,1,2,0,14,102,39,51,12,1
,MISSOURI ,Saline,7,0,0,0,7,66,20,40,6,1
,MISSOURI ,Schuyler,3,0,2,0,1,52,10,33,9,1
,MISSOURI ,Scotland,2,0,1,0,1,20,2,17,1,1
,MISSOURI ,Shannon,10,0,0,0,10,24,8,13,3,2
,MISSOURI ,Shelby,0,0,0,0,0,15,1,10,4,0
,MISSOURI ,Ste. Genevieve,39,1,8,0,30,113,22,73,18,1
,MISSOURI ,St. Francois,62,1,1,1,59,261,42,149,70,3
,MISSOURI ,Stone,73,0,6,0,67,246,65,179,2,1
,MISSOURI ,Sullivan,5,0,1,0,4,42,19,16,7,0
,MISSOURI ,Taney,113,0,3,1,109,221,46,134,41,0
,MISSOURI ,Texas,39,1,4,0,34,158,52,87,19,5
,MISSOURI ,Vernon,78,0,4,5,69,272,91,133,48,2
,MISSOURI ,Washington,64,0,8,1,55,466,140,252,74,2
,MISSOURI ,Wayne,29,3,2,0,24,198,65,110,23,0
,MISSOURI ,Worth,1,0,0,0,1,12,0,11,1,0
,MISSOURI ,Wright,15,0,0,0,15,76,28,41,7,1
MONTANA - Metropolitan Counties,MONTANA ,Carbon,24,1,5,1,17,56,7,43,6,0
,MONTANA ,Cascade,51,0,4,0,47,293,60,196,37,2
,MONTANA ,Missoula,78,0,17,4,57,499,114,330,55,0
,MONTANA ,Stillwater,16,0,2,0,14,59,19,36,4,0
,MONTANA ,Yellowstone,112,1,9,7,95,740,111,528,101,4
MONTANA - Nonmetropolitan Counties,MONTANA ,Beaverhead,1,0,1,0,0,2,0,2,0,0
,MONTANA ,Big Horn,40,1,3,0,36,257,27,179,51,0
,MONTANA ,Blaine,31,0,4,0,27,9,1,5,3,0
,MONTANA ,Broadwater,24,0,2,0,22,37,1,26,10,1
,MONTANA ,Carter,0,0,0,0,0,0,0,0,0,0
,MONTANA ,Chouteau,1,0,1,0,0,3,2,1,0,1
,MONTANA ,Custer,5,1,0,0,4,24,6,18,0,0
,MONTANA ,Daniels,0,0,0,0,0,0,0,0,0,0
,MONTANA ,Dawson,9,0,2,0,7,29,13,15,1,3
,MONTANA ,Deer Lodge,40,1,2,0,37,252,58,163,31,1
,MONTANA ,Fallon,0,0,0,0,0,5,0,4,1,0
,MONTANA ,Fergus,11,0,4,0,7,52,9,34,9,0
,MONTANA ,Flathead,190,2,26,0,162,893,134,632,127,7
,MONTANA ,Gallatin,86,0,20,2,64,415,32,351,32,3
,MONTANA ,Garfield,0,0,0,0,0,0,0,0,0,0
,MONTANA ,Glacier,3,0,0,0,3,23,2,19,2,0
,MONTANA ,Golden Valley,2,0,0,0,2,15,1,12,2,0
,MONTANA ,Granite,1,0,0,0,1,20,3,16,1,0
,MONTANA ,Hill,22,1,2,0,19,178,11,155,12,2
,MONTANA ,Jefferson,36,0,2,0,34,108,15,80,13,0
,MONTANA ,Lake,76,1,17,3,55,229,67,122,40,6
,MONTANA ,Lewis and Clark,84,2,18,0,64,438,112,290,36,3
,MONTANA ,Liberty,1,0,0,1,0,0,0,0,0,0
,MONTANA ,Lincoln,15,0,3,0,12,55,4,44,7,0
,MONTANA ,Madison,7,0,2,0,5,67,17,49,1,0
,MONTANA ,McCone,1,0,0,0,1,2,1,0,1,0
,MONTANA ,Meagher,3,0,0,0,3,14,4,10,0,0
,MONTANA ,Mineral,2,0,1,0,1,11,1,9,1,0
,MONTANA ,Musselshell,7,0,2,0,5,98,10,84,4,0
,MONTANA ,Park,25,0,3,0,22,43,7,31,5,1
,MONTANA ,Phillips,17,0,3,0,14,49,8,32,9,1
,MONTANA ,Pondera,1,0,0,0,1,3,2,0,1,0
,MONTANA ,Powell,3,0,1,0,2,8,3,5,0,1
,MONTANA ,Prairie,12,0,0,0,12,3,0,3,0,0
,MONTANA ,Ravalli,44,0,3,1,40,261,23,229,9,1
,MONTANA ,Richland,7,0,0,0,7,39,7,26,6,0
,MONTANA ,Roosevelt,88,1,1,1,85,101,37,39,25,3
,MONTANA ,Rosebud,14,0,1,1,12,23,3,17,3,0
,MONTANA ,Sanders,14,1,7,2,4,32,2,21,9,1
,MONTANA ,Sheridan,8,0,1,0,7,36,6,28,2,0
,MONTANA ,Silver Bow,173,0,11,9,153,"1,847",235,"1,399",213,9
,MONTANA ,Sweet Grass,14,0,4,0,10,41,2,35,4,0
,MONTANA ,Teton,4,0,1,0,3,47,8,33,6,1
,MONTANA ,Toole,26,0,3,0,23,51,2,44,5,0
,MONTANA ,Valley,9,1,6,0,2,21,7,12,2,0
,MONTANA ,Wheatland,5,0,1,0,4,3,2,0,1,0
,MONTANA ,Wibaux,0,0,0,0,0,1,0,1,0,0
NEBRASKA - Metropolitan Counties,NEBRASKA ,Cass,17,2,7,0,8,159,20,124,15,0
,NEBRASKA ,Dakota,16,0,1,0,15,75,13,44,18,
,NEBRASKA ,Dixon,2,0,1,0,1,27,15,12,0,0
,NEBRASKA ,Douglas5,83,2,19,5,57,669,135,440,94,1
,NEBRASKA ,Hall,25,0,4,1,20,123,23,94,6,1
,NEBRASKA ,Howard,7,0,0,0,7,9,3,2,4,0
,NEBRASKA ,Lancaster,24,0,17,0,7,178,40,123,15,
,NEBRASKA ,Merrick,1,0,0,0,1,11,1,6,4,0
,NEBRASKA ,Sarpy,51,0,13,6,32,703,83,546,74,1
,NEBRASKA ,Saunders,6,0,4,0,2,66,33,27,6,1
,NEBRASKA ,Seward,8,0,3,0,5,36,7,20,9,1
,NEBRASKA ,Washington,1,0,0,0,1,91,8,72,11,0
NEBRASKA - Nonmetropolitan Counties,NEBRASKA ,Adams,5,0,2,0,3,62,18,42,2,0
,NEBRASKA ,Antelope,3,0,1,0,2,23,1,19,3,
,NEBRASKA ,Arthur,0,0,0,0,0,1,0,1,0,
,NEBRASKA ,Box Butte,4,0,0,0,4,12,6,6,0,
,NEBRASKA ,Brown,0,0,0,0,0,14,1,11,2,
,NEBRASKA ,Buffalo,15,0,4,0,11,122,20,94,8,0
,NEBRASKA ,Burt,8,1,2,1,4,30,8,20,2,
,NEBRASKA ,Butler,5,0,1,0,4,22,0,21,1,0
,NEBRASKA ,Cedar,1,0,0,0,1,6,0,6,0,
,NEBRASKA ,Chase,0,0,0,0,0,8,0,5,3,
,NEBRASKA ,Cherry,5,0,0,0,5,7,0,5,2,
,NEBRASKA ,Cheyenne,2,1,0,0,1,16,3,9,4,0
,NEBRASKA ,Colfax,1,0,0,0,1,27,5,19,3,0
,NEBRASKA ,Custer,9,0,2,0,7,50,15,29,6,2
,NEBRASKA ,Dawes,1,0,0,0,1,4,0,4,0,
,NEBRASKA ,Dawson,8,0,5,0,3,49,13,27,9,0
,NEBRASKA ,Deuel,1,0,0,0,1,5,0,4,1,0
,NEBRASKA ,Dodge,7,0,2,0,5,103,24,69,10,
,NEBRASKA ,Franklin,0,0,0,0,0,8,4,3,1,
,NEBRASKA ,Frontier,0,0,0,0,0,1,0,0,1,0
,NEBRASKA ,Furnas,10,0,0,0,10,32,7,23,2,0
,NEBRASKA ,Gage,16,0,6,0,10,68,26,38,4,0
,NEBRASKA ,Garfield,0,0,0,0,0,1,0,1,0,0
,NEBRASKA ,Gosper,0,0,0,0,0,10,2,7,1,0
,NEBRASKA ,Hayes,0,0,0,0,0,1,0,1,0,
,NEBRASKA ,Hitchcock,2,0,1,0,1,12,4,6,2,
,NEBRASKA ,Hooker,0,0,0,0,0,2,0,2,0,
,NEBRASKA ,Jefferson,2,0,1,0,1,19,6,12,1,0
,NEBRASKA ,Johnson,7,0,6,0,1,18,8,9,1,0
,NEBRASKA ,Kearney,1,0,0,0,1,28,6,18,4,0
,NEBRASKA ,Keith,5,0,3,0,2,13,2,8,3,0
,NEBRASKA ,Keya Paha,0,0,0,0,0,0,0,0,0,
,NEBRASKA ,Knox,4,0,0,0,4,30,4,16,10,
,NEBRASKA ,Lincoln,8,0,1,0,7,117,30,78,9,0
,NEBRASKA ,Madison,10,0,4,0,6,47,10,35,2,2
,NEBRASKA ,Morrill,1,0,0,0,1,26,2,24,0,
,NEBRASKA ,Nemaha,7,0,5,0,2,49,12,27,10,0
,NEBRASKA ,Perkins,5,0,1,0,4,31,6,22,3,0
,NEBRASKA ,Phelps,2,0,1,0,1,23,4,16,3,0
,NEBRASKA ,Platte,8,0,2,0,6,95,15,71,9,2
,NEBRASKA ,Polk,1,0,0,0,1,31,0,25,6,0
,NEBRASKA ,Red Willow,0,0,0,0,0,1,0,0,1,0
,NEBRASKA ,Saline,13,0,3,0,10,34,7,22,5,0
,NEBRASKA ,Scotts Bluff,14,0,4,0,10,74,10,56,8,0
,NEBRASKA ,Sheridan,8,0,0,0,8,54,10,30,14,
,NEBRASKA ,Sherman,0,0,0,0,0,8,0,6,2,0
,NEBRASKA ,Stanton,9,0,0,0,9,32,4,26,2,
,NEBRASKA ,Thayer,4,0,0,0,4,30,2,27,1,
,NEBRASKA ,Thurston,7,0,1,0,6,13,5,4,4,0
,NEBRASKA ,Valley,2,0,0,0,2,11,0,11,0,0
,NEBRASKA ,Wayne,2,0,0,0,2,15,5,7,3,0
,NEBRASKA ,Webster,0,0,0,0,0,16,11,4,1,
,NEBRASKA ,Wheeler5,1,0,0,0,1,0,0,0,0,
,NEBRASKA ,York,6,0,4,0,2,37,2,30,5,1
NEVADA - Metropolitan Counties,NEVADA ,Carson City,198,1,43,13,141,737,157,507,73,8
,NEVADA ,Storey,44,0,5,1,38,86,29,53,4,1
,NEVADA ,Washoe,168,6,45,12,105,637,162,404,71,6
NEVADA - Nonmetropolitan Counties,NEVADA ,Churchill,30,0,7,1,22,160,53,91,16,4
,NEVADA ,Douglas,64,1,13,13,37,594,107,446,41,9
,NEVADA ,Elko,55,2,9,0,44,175,35,112,28,3
,NEVADA ,Esmeralda,1,0,0,0,1,11,2,7,2,0
,NEVADA ,Eureka,5,0,1,0,4,50,17,31,2,0
,NEVADA ,Humboldt,26,1,10,0,15,79,53,18,8,2
,NEVADA ,Lander,52,3,10,0,39,97,44,50,3,4
,NEVADA ,Lincoln,13,0,5,0,8,31,6,18,7,0
,NEVADA ,Lyon,159,1,10,8,140,569,140,389,40,8
,NEVADA ,Mineral,2,0,0,0,2,30,9,15,6,0
,NEVADA ,Nye,60,1,9,10,40,774,239,396,139,2
,NEVADA ,Pershing,36,0,6,0,30,27,9,17,1,0
,NEVADA ,White Pine,28,1,6,2,19,117,41,61,15,1
NEW HAMPSHIRE - Metropolitan Counties,NEW HAMPSHIRE ,Rockingham,2,0,1,0,1,4,0,4,0,0
,NEW HAMPSHIRE ,Strafford,9,0,0,0,9,3,0,3,0,0
NEW HAMPSHIRE - Nonmetropolitan Counties,NEW HAMPSHIRE ,Carroll,3,0,0,0,3,32,7,24,1,0
,NEW HAMPSHIRE ,Cheshire,0,0,0,0,0,9,1,8,0,0
,NEW HAMPSHIRE ,Grafton,5,0,3,0,2,2,0,2,0,0
,NEW HAMPSHIRE ,Merrimack,1,0,1,0,0,5,1,4,0,0
NEW JERSEY - Metropolitan Counties,NEW JERSEY ,Atlantic,0,0,0,0,0,0,0,0,0,0
,NEW JERSEY ,Bergen,0,0,0,0,0,0,0,0,0,0
,NEW JERSEY ,Burlington,0,0,0,0,0,0,0,0,0,0
,NEW JERSEY ,Camden,6,0,0,0,6,37,0,35,2,0
,NEW JERSEY ,Cape May,1,0,0,0,1,1,0,1,0,0
,NEW JERSEY ,Cumberland,1,0,0,0,1,0,0,0,0,0
,NEW JERSEY ,Essex,107,0,4,29,74,111,20,84,7,0
,NEW JERSEY ,Gloucester,1,0,0,0,1,1,0,1,0,0
,NEW JERSEY ,Hudson,0,0,0,0,0,0,0,0,0,0
,NEW JERSEY ,Hunterdon,0,0,0,0,0,0,0,0,0,0
,NEW JERSEY ,Mercer,1,0,0,0,1,13,7,4,2,0
,NEW JERSEY ,Middlesex,0,0,0,0,0,0,0,0,0,0
,NEW JERSEY ,Monmouth,8,0,0,0,8,0,0,0,0,0
,NEW JERSEY ,Morris,0,0,0,0,0,0,0,0,0,0
,NEW JERSEY ,Ocean,1,0,0,0,1,7,0,7,0,0
,NEW JERSEY ,Passaic,0,0,0,0,0,0,0,0,0,0
,NEW JERSEY ,Salem,0,0,0,0,0,0,0,0,0,0
,NEW JERSEY ,Somerset,0,0,0,0,0,0,0,0,0,0
,NEW JERSEY ,Sussex,0,0,0,0,0,0,0,0,0,0
